gene,rna_col,queries,gs_names
FPR3,rna_FPR3,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE
FURIN,rna_FURIN,ecm_remodelling; inflammatory_response,GOBP_COLLAGEN_CATABOLIC_PROCESS; GOBP_COLLAGEN_METABOLIC_PROCESS; GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY; GOBP_INFLAMMATORY_RESPONSE; GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_MEMBRANE_PROTEIN_ECTODOMAIN_PROTEOLYSIS; GOBP_MEMBRANE_PROTEIN_PROTEOLYSIS; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_NEGATIVE_REGULATION_OF_PROTEOLYSIS; GOBP_POSITIVE_REGULATION_OF_MEMBRANE_PROTEIN_ECTODOMAIN_PROTEOLYSIS; GOBP_POSITIVE_REGULATION_OF_PROTEOLYSIS; GOBP_PROTEOLYSIS; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_REGULATION_OF_MEMBRANE_PROTEIN_ECTODOMAIN_PROTEOLYSIS; GOBP_REGULATION_OF_PROTEOLYSIS
FUT4,rna_FUT4,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE
FXR1,rna_FXR1,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE
FYN,rna_FYN,inflammatory_response; kinase_activity; kinase_signalling,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY; GOBP_INFLAMMATORY_RESPONSE; GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOMF_NON_MEMBRANE_SPANNING_PROTEIN_TYROSINE_KINASE_ACTIVITY; GOMF_PROTEIN_TYROSINE_KINASE_ACTIVITY
GBP1,rna_GBP1,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_POSITIVE_REGULATION_OF_PYROPTOTIC_INFLAMMATORY_RESPONSE; GOBP_PYROPTOTIC_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE
GBP2,rna_GBP2,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_POSITIVE_REGULATION_OF_PYROPTOTIC_INFLAMMATORY_RESPONSE; GOBP_PYROPTOTIC_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE
GBP3,rna_GBP3,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_POSITIVE_REGULATION_OF_PYROPTOTIC_INFLAMMATORY_RESPONSE; GOBP_PYROPTOTIC_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE
GGT1,rna_GGT1,ecm_remodelling; inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_PROTEOLYSIS; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE; HP_INCREASED_INFLAMMATORY_RESPONSE
GGT3P,rna_GGT3P,ecm_remodelling; inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_PROTEOLYSIS; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE
