gene,rna_col,queries,gs_names
ANXA3,rna_ANXA3,neutrophil_activation; neutrophil_degranulation,GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE; GOBP_NEUTROPHIL_DEGRANULATION; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY
BCR,rna_BCR,inflammatory_response; kinase_activity; neutrophil_activation; neutrophil_degranulation,GOBP_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE; GOBP_NEUTROPHIL_DEGRANULATION; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_NEUTROPHIL_DEGRANULATION; GOMF_PROTEIN_TYROSINE_KINASE_ACTIVITY
CD177,rna_CD177,neutrophil_activation; neutrophil_degranulation,GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE; GOBP_NEUTROPHIL_DEGRANULATION; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; GOBP_REGULATION_OF_NEUTROPHIL_DEGRANULATION
ITGAM,rna_ITGAM,inflammatory_response; neutrophil_activation; neutrophil_degranulation,GOBP_INFLAMMATORY_RESPONSE; GOBP_NEUROINFLAMMATORY_RESPONSE; GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE; GOBP_NEUTROPHIL_DEGRANULATION; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; GOBP_REGULATION_OF_NEUTROPHIL_DEGRANULATION; HP_INCREASED_INFLAMMATORY_RESPONSE
ITGB2,rna_ITGB2,inflammatory_response; neutrophil_activation; neutrophil_degranulation,GOBP_INFLAMMATORY_RESPONSE; GOBP_LEUKOCYTE_MIGRATION_INVOLVED_IN_INFLAMMATORY_RESPONSE; GOBP_NEUROINFLAMMATORY_RESPONSE; GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE; GOBP_NEUTROPHIL_DEGRANULATION; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; GOBP_REGULATION_OF_NEUTROPHIL_DEGRANULATION; HP_INCREASED_INFLAMMATORY_RESPONSE
PRAM1,rna_PRAM1,neutrophil_activation; neutrophil_degranulation,GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE; GOBP_NEUTROPHIL_DEGRANULATION; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; GOBP_REGULATION_OF_NEUTROPHIL_DEGRANULATION
SPI1,rna_SPI1,inflammatory_response; neutrophil_activation; neutrophil_degranulation,GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE; GOBP_NEUTROPHIL_DEGRANULATION; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; GOBP_REGULATION_OF_NEUTROPHIL_DEGRANULATION; HP_INCREASED_INFLAMMATORY_RESPONSE
STXBP2,rna_STXBP2,inflammatory_response; neutrophil_activation; neutrophil_degranulation,GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE; GOBP_NEUTROPHIL_DEGRANULATION; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; HP_INCREASED_INFLAMMATORY_RESPONSE
STXBP3,rna_STXBP3,neutrophil_activation; neutrophil_degranulation,GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE; GOBP_NEUTROPHIL_DEGRANULATION; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY
SYK,rna_SYK,ecm_remodelling; inflammatory_response; kinase_activity; kinase_signalling; neutrophil_activation; neutrophil_degranulation,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY; GOBP_COLLAGEN_ACTIVATED_SIGNALING_PATHWAY; GOBP_COLLAGEN_ACTIVATED_TYROSINE_KINASE_RECEPTOR_SIGNALING_PATHWAY; GOBP_INFLAMMATORY_RESPONSE; GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE; GOBP_NEUTROPHIL_DEGRANULATION; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_INVOLVED_IN_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_REGULATION_OF_NEUTROPHIL_DEGRANULATION; GOMF_NON_MEMBRANE_SPANNING_PROTEIN_TYROSINE_KINASE_ACTIVITY; GOMF_PROTEIN_TYROSINE_KINASE_ACTIVITY; HP_INCREASED_INFLAMMATORY_RESPONSE
VAMP2,rna_VAMP2,inflammatory_response; neutrophil_activation; neutrophil_degranulation,GOBP_INFLAMMATORY_RESPONSE; GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE; GOBP_NEUTROPHIL_DEGRANULATION; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_INVOLVED_IN_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE
VAMP7,rna_VAMP7,inflammatory_response; neutrophil_activation; neutrophil_degranulation,GOBP_INFLAMMATORY_RESPONSE; GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE; GOBP_NEUTROPHIL_DEGRANULATION; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_INVOLVED_IN_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE
VAMP8,rna_VAMP8,inflammatory_response; neutrophil_activation; neutrophil_degranulation,GOBP_INFLAMMATORY_RESPONSE; GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE; GOBP_NEUTROPHIL_DEGRANULATION; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_INVOLVED_IN_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE
CD300A,rna_CD300A,neutrophil_activation,GOBP_NEGATIVE_REGULATION_OF_NEUTROPHIL_ACTIVATION; GOBP_REGULATION_OF_NEUTROPHIL_ACTIVATION
CLEC12A,rna_CLEC12A,inflammatory_response; neutrophil_activation,GOBP_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_NEUTROPHIL_ACTIVATION; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_NEUTROPHIL_ACTIVATION
FCGR2B,rna_FCGR2B,inflammatory_response; neutrophil_activation,GOBP_ACUTE_INFLAMMATORY_RESPONSE; GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_INFLAMMATORY_RESPONSE; GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_NEGATIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_NEGATIVE_REGULATION_OF_NEUTROPHIL_ACTIVATION; GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_REGULATION_OF_NEUTROPHIL_ACTIVATION; HP_INCREASED_INFLAMMATORY_RESPONSE
GRN,rna_GRN,ecm_remodelling; inflammatory_response; neutrophil_activation,GOBP_INFLAMMATORY_RESPONSE; GOBP_INFLAMMATORY_RESPONSE_TO_WOUNDING; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_NEUROINFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_NEUTROPHIL_ACTIVATION; GOBP_NEGATIVE_REGULATION_OF_RESPIRATORY_BURST_INVOLVED_IN_INFLAMMATORY_RESPONSE; GOBP_NEUROINFLAMMATORY_RESPONSE; GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_POSITIVE_REGULATION_OF_PROTEOLYSIS; GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_INVOLVED_IN_INFLAMMATORY_RESPONSE; GOBP_PROTEOLYSIS; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_WOUNDING; GOBP_REGULATION_OF_NEUROINFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_NEUTROPHIL_ACTIVATION; GOBP_REGULATION_OF_PROTEOLYSIS; GOBP_REGULATION_OF_RESPIRATORY_BURST_INVOLVED_IN_INFLAMMATORY_RESPONSE; GOBP_RESPIRATORY_BURST_INVOLVED_IN_INFLAMMATORY_RESPONSE
PTPN11,rna_PTPN11,kinase_signalling; neutrophil_activation,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY; GOBP_NEGATIVE_REGULATION_OF_NEUTROPHIL_ACTIVATION; GOBP_REGULATION_OF_NEUTROPHIL_ACTIVATION; GOMF_RECEPTOR_TYROSINE_KINASE_BINDING
PTPN6,rna_PTPN6,inflammatory_response; neutrophil_activation,GOBP_INFLAMMATORY_RESPONSE; GOBP_INFLAMMATORY_RESPONSE_TO_WOUNDING; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_WOUNDING; GOBP_NEGATIVE_REGULATION_OF_NEUTROPHIL_ACTIVATION; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_WOUNDING; GOBP_REGULATION_OF_NEUTROPHIL_ACTIVATION; HP_INCREASED_INFLAMMATORY_RESPONSE
SRC,rna_SRC,ecm_remodelling; inflammatory_response; kinase_activity; kinase_signalling; neutrophil_activation,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY; GOBP_INFLAMMATORY_RESPONSE; GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_NEGATIVE_REGULATION_OF_NEUTROPHIL_ACTIVATION; GOBP_POSITIVE_REGULATION_OF_PROTEOLYSIS; GOBP_PROTEOLYSIS; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_REGULATION_OF_NEUTROPHIL_ACTIVATION; GOBP_REGULATION_OF_PROTEOLYSIS; GOMF_NON_MEMBRANE_SPANNING_PROTEIN_TYROSINE_KINASE_ACTIVITY; GOMF_PROTEIN_TYROSINE_KINASE_ACTIVITY
DNASE1,rna_DNASE1,inflammatory_response; neutrophil_activation,GOBP_ACUTE_INFLAMMATORY_RESPONSE; GOBP_INFLAMMATORY_RESPONSE; GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE; HP_INCREASED_INFLAMMATORY_RESPONSE
DNASE1L3,rna_DNASE1L3,inflammatory_response; neutrophil_activation,GOBP_ACUTE_INFLAMMATORY_RESPONSE; GOBP_INFLAMMATORY_RESPONSE; GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE; HP_INCREASED_INFLAMMATORY_RESPONSE
FCER1G,rna_FCER1G,inflammatory_response; neutrophil_activation,GOBP_ACUTE_INFLAMMATORY_RESPONSE; GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_INFLAMMATORY_RESPONSE; GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE; GOBP_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE; GOBP_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_INVOLVED_IN_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS
GKN2,rna_GKN2,inflammatory_response; neutrophil_activation,GOBP_INFLAMMATORY_RESPONSE; GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE
LILRA2,rna_LILRA2,neutrophil_activation,GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE
MYD88,rna_MYD88,inflammatory_response; neutrophil_activation,GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE; GOBP_INFLAMMATORY_RESPONSE; GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE; GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_INVOLVED_IN_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE; HP_INCREASED_INFLAMMATORY_RESPONSE
SCNN1B,rna_SCNN1B,inflammatory_response; neutrophil_activation,GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; HP_INCREASED_INFLAMMATORY_RESPONSE
TYROBP,rna_TYROBP,inflammatory_response; neutrophil_activation,GOBP_INFLAMMATORY_RESPONSE; GOBP_NEUROINFLAMMATORY_RESPONSE; GOBP_NEUTROPHIL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE
ACE,rna_ACE,ecm_remodelling; metalloprotease_activity; neutrophil_activation,GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; GOBP_PROTEOLYSIS; GOMF_METALLOENDOPEPTIDASE_ACTIVITY; GOMF_METALLOEXOPEPTIDASE_ACTIVITY; GOMF_METALLOPEPTIDASE_ACTIVITY
ADAM17,rna_ADAM17,ecm_remodelling; inflammatory_response; kinase_signalling; metalloprotease_activity; neutrophil_activation,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY; GOBP_INFLAMMATORY_RESPONSE; GOBP_MEMBRANE_PROTEIN_ECTODOMAIN_PROTEOLYSIS; GOBP_MEMBRANE_PROTEIN_PROTEOLYSIS; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_INVOLVED_IN_INFLAMMATORY_RESPONSE; GOBP_PROTEOLYSIS; GOMF_METALLOENDOPEPTIDASE_ACTIVITY; GOMF_METALLOEXOPEPTIDASE_ACTIVITY; GOMF_METALLOPEPTIDASE_ACTIVITY; HP_INCREASED_INFLAMMATORY_RESPONSE
ARG1,rna_ARG1,neutrophil_activation,GOBP_NEUTROPHIL_MEDIATED_IMMUNITY
AZU1,rna_AZU1,ecm_remodelling; inflammatory_response; neutrophil_activation,GOBP_INFLAMMATORY_RESPONSE; GOBP_NEUROINFLAMMATORY_RESPONSE; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; GOBP_PROTEOLYSIS
CARD9,rna_CARD9,inflammatory_response; neutrophil_activation,GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE; GOBP_INFLAMMATORY_RESPONSE; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE; GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_INVOLVED_IN_INFLAMMATORY_RESPONSE; HP_INCREASED_INFLAMMATORY_RESPONSE
CTSG,rna_CTSG,ecm_remodelling; neutrophil_activation,GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; GOBP_PROTEOLYSIS
CXCL6,rna_CXCL6,hallmark_inflammation; inflammatory_response; neutrophil_activation,GOBP_INFLAMMATORY_RESPONSE; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; HALLMARK_INFLAMMATORY_RESPONSE
DAO,rna_DAO,neutrophil_activation,GOBP_NEUTROPHIL_MEDIATED_IMMUNITY
ELANE,rna_ELANE,ecm_remodelling; inflammatory_response; neutrophil_activation,GOBP_ACUTE_INFLAMMATORY_RESPONSE; GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY; GOBP_INFLAMMATORY_RESPONSE; GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_LEUKOCYTE_MIGRATION_INVOLVED_IN_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; GOBP_PROTEOLYSIS; GOBP_PYROPTOTIC_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE; HP_INCREASED_INFLAMMATORY_RESPONSE
F2,rna_F2,ecm_remodelling; inflammatory_response; neutrophil_activation,GOBP_ACUTE_INFLAMMATORY_RESPONSE; GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS; GOBP_COLLAGEN_METABOLIC_PROCESS; GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE; GOBP_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_PROTEOLYSIS; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; GOBP_POSITIVE_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS; GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_INVOLVED_IN_INFLAMMATORY_RESPONSE; GOBP_PROTEOLYSIS; GOBP_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS; GOBP_REGULATION_OF_PROTEOLYSIS
F2RL1,rna_F2RL1,inflammatory_response; neutrophil_activation,GOBP_INFLAMMATORY_RESPONSE; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY
FCAR,rna_FCAR,neutrophil_activation,GOBP_NEUTROPHIL_MEDIATED_IMMUNITY
IL6,rna_IL6,ecm_remodelling; hallmark_inflammation; inflammatory_response; neutrophil_activation,GOBP_ACUTE_INFLAMMATORY_RESPONSE; GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS; GOBP_COLLAGEN_METABOLIC_PROCESS; GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE; GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY; GOBP_INFLAMMATORY_RESPONSE; GOBP_INFLAMMATORY_RESPONSE_TO_WOUNDING; GOBP_NEGATIVE_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS; GOBP_NEUROINFLAMMATORY_RESPONSE; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; GOBP_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE; GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE; GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_DISASSEMBLY; GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION; GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_POSITIVE_REGULATION_OF_NEUROINFLAMMATORY_RESPONSE; GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_INVOLVED_IN_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS; GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_DISASSEMBLY; GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_NEUROINFLAMMATORY_RESPONSE; HALLMARK_INFLAMMATORY_RESPONSE; HP_INCREASED_INFLAMMATORY_RESPONSE
IL6R,rna_IL6R,ecm_remodelling; inflammatory_response; neutrophil_activation,GOBP_ACUTE_INFLAMMATORY_RESPONSE; GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS; GOBP_COLLAGEN_METABOLIC_PROCESS; GOBP_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; GOBP_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS; HP_INCREASED_INFLAMMATORY_RESPONSE
IRAK4,rna_IRAK4,inflammatory_response; neutrophil_activation,GOBP_INFLAMMATORY_RESPONSE; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; HP_INCREASED_INFLAMMATORY_RESPONSE
JAGN1,rna_JAGN1,inflammatory_response; neutrophil_activation,GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; HP_INCREASED_INFLAMMATORY_RESPONSE
NCF1,rna_NCF1,inflammatory_response; neutrophil_activation,GOBP_INFLAMMATORY_RESPONSE; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_INVOLVED_IN_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_RESPIRATORY_BURST_INVOLVED_IN_INFLAMMATORY_RESPONSE; GOBP_RESPIRATORY_BURST_INVOLVED_IN_INFLAMMATORY_RESPONSE; HP_INCREASED_INFLAMMATORY_RESPONSE
NLRP6,rna_NLRP6,inflammatory_response; neutrophil_activation,GOBP_ACUTE_INFLAMMATORY_RESPONSE; GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_INFLAMMATORY_RESPONSE; GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_PYROPTOTIC_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS
PCYOX1L,rna_PCYOX1L,ecm_remodelling; neutrophil_activation,GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
PLA2G1B,rna_PLA2G1B,neutrophil_activation,GOBP_NEUTROPHIL_MEDIATED_IMMUNITY
POMC,rna_POMC,neutrophil_activation,GOBP_NEUTROPHIL_MEDIATED_IMMUNITY
TREM1,rna_TREM1,neutrophil_activation,GOBP_NEUTROPHIL_MEDIATED_IMMUNITY
TUSC2,rna_TUSC2,inflammatory_response; neutrophil_activation,GOBP_INFLAMMATORY_RESPONSE; GOBP_NEUTROPHIL_MEDIATED_IMMUNITY
WDR1,rna_WDR1,inflammatory_response; neutrophil_activation,GOBP_NEUTROPHIL_MEDIATED_IMMUNITY; HP_INCREASED_INFLAMMATORY_RESPONSE
IL16,rna_IL16,inflammatory_response; neutrophil_activation,GOBP_INFLAMMATORY_RESPONSE; GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_NEUTROPHIL_ACTIVATION
PLA2G2A,rna_PLA2G2A,inflammatory_response; neutrophil_activation,GOBP_INFLAMMATORY_RESPONSE; GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_NEUTROPHIL_ACTIVATION
