gene_feature,p_value
rna_PLOD2,1.505991007726591e-5
rna_ANKZF1,1.5287341991190095e-5
rna_GAPDH,1.530945212862713e-5
rna_DHH,1.5376369576260627e-5
rna_TMPRSS13,1.538564876949161e-5
rna_DHX9,1.561179799543139e-5
rna_WWTR1,1.570563509401322e-5
rna_DKC1,1.5708444582373065e-5
rna_NOS1,1.5713993681933456e-5
rna_GIPC1,1.6031507970798477e-5
rna_NRP1,1.606754184923328e-5
rna_BCAR3,1.612861634521371e-5
rna_RPS6KB2,1.7061725251040587e-5
rna_MTHFD1,1.706399475875687e-5
rna_CLASP2,1.7103593391258282e-5
rna_DSG2,1.7488809522669885e-5
rna_CCDC47,1.755098435614107e-5
rna_GAPVD1,1.7599028205445106e-5
rna_USP21,1.776266978172078e-5
rna_TRIM44,1.78345637945252e-5
rna_TGFA,1.7917010496521026e-5
rna_RTBDN,1.8102461067587932e-5
rna_RCE1,1.818212511248341e-5
rna_CAPN3,1.8570881646388183e-5
rna_NLN,1.881280007357005e-5
rna_PPARA,1.889717556129151e-5
rna_ATP7B,1.9180834503813612e-5
rna_ANAPC11,1.92422873667781e-5
rna_CTLA4,1.943270678502822e-5
rna_SRCIN1,1.9448467333203773e-5
rna_DNAJC3,1.960850276602223e-5
rna_RAP2C,1.9677474540199228e-5
rna_ROS1,2.011432216120015e-5
rna_IFI16,2.02579133325795e-5
rna_RPSA,2.0296321780596736e-5
rna_SIRT1,2.0314073026198765e-5
rna_GOT1,2.0513247562189398e-5
rna_CAPN8,2.0584651818345932e-5
rna_ABCD3,2.0757480312322702e-5
rna_PDGFB,2.1225133828036825e-5
rna_COL5A1,2.133550573893123e-5
rna_LRRC15,2.1358998338669537e-5
rna_USP37,2.141573392945183e-5
rna_PCYOX1L,2.1447339696651437e-5
rna_SH2D6,2.205422624046245e-5
rna_RAD23A,2.218345628298232e-5
rna_EPM2A,2.225535813912659e-5
rna_RIT1,2.2732688900837524e-5
rna_SULT2B1,2.3296507658369676e-5
rna_F2,2.3324227143953365e-5
rna_G6PC3,2.337375692939142e-5
rna_SPRY1,2.348985388275e-5
rna_MAN1A2,2.3626134511124885e-5
rna_IFITM1,2.3689968423477514e-5
rna_DOCK4,2.4141503210156044e-5
rna_EDEM2,2.4415480592326486e-5
rna_ATF6,2.443430160644826e-5
rna_ERMP1,2.4437986318022285e-5
rna_F3,2.4492012825924054e-5
rna_TRPM4,2.462066971779071e-5
rna_KLHDC2,2.4644326249893285e-5
rna_NODAL,2.5296400120423962e-5
rna_CPNE3,2.573914947938332e-5
rna_RAB40A,2.603986779395218e-5
rna_STAT5B,2.6071181710486696e-5
rna_CDC73,2.629103804874484e-5
rna_PTGER1,2.6920443420271438e-5
rna_GPSM3,2.7079253760808847e-5
rna_UBE2J2,2.7530448000358435e-5
rna_LMX1B,2.789817163468288e-5
rna_ARID5B,2.8290420343625587e-5
rna_COL8A2,2.8396403030263172e-5
rna_RHBDD1,2.8629282044621053e-5
rna_HMCN1,2.8630876778158897e-5
rna_GPC1,2.891288878039851e-5
rna_ABCD1,2.9037864894618466e-5
rna_MAPK7,2.9058905060279836e-5
rna_CXCL3,2.9375814134126633e-5
rna_SHKBP1,3.014396456923009e-5
rna_SEMA6A,3.0152838916684803e-5
rna_FOXP3,3.0162495541143703e-5
rna_KCNJ6,3.0176391374369315e-5
rna_PPOX,3.100362299003031e-5
rna_CPA5,3.1176467223822336e-5
rna_PSMC3,3.1188209311355934e-5
rna_CFL1,3.123108739225347e-5
rna_ASXL1,3.130697794342978e-5
rna_KIF1B,3.138827210738798e-5
rna_LY96,3.1860204398542176e-5
rna_P4HB,3.193121584275767e-5
rna_CCT5,3.2193477673048e-5
rna_ADAM10,3.2235510576829384e-5
rna_BEST1,3.246421529148212e-5
rna_RPS19,3.2686641929049737e-05
rna_MSMP,3.314021134259888e-5
rna_PIK3C3,3.383892347318286e-5
rna_USP6,3.394372872232397e-5
rna_NCCRP1,3.411401368540261e-5
rna_ARRB1,3.436109684782956e-5
rna_HPN,3.477716835612356e-5
rna_HDAC8,3.495505473027623e-5
rna_PBK,3.5172148000134034e-5
rna_SRPX,3.5837170131324436e-5
rna_CLCA2,3.6504910638117554e-5
rna_CASP12,3.6700244863040344e-5
rna_SOCS7,3.6719737756645616e-5
rna_GIGYF1,3.6814731431441175e-5
rna_KLHL11,3.6981085850416874e-5
rna_PRSS36,3.72546876027778e-5
rna_MBD5,3.7603313980249365e-5
rna_HAS1,3.7678553742321955e-5
rna_LTK,3.770325705669071e-5
rna_CLK3,3.828875251774358e-5
rna_MRAP,3.8465062644850236e-5
rna_LOXL3,3.85256099271607e-5
rna_IFIH1,3.9424291050478356e-5
rna_STK36,4.002016108198494e-5
rna_MDM4,4.026150283149361e-5
rna_TMPRSS9,4.036181723268226e-5
rna_FLOT1,4.0835246141521124e-5
rna_TRAF4,4.094611548288962e-5
rna_TIRAP,4.0949041585319766e-5
rna_SNX12,4.101984506892422e-5
rna_CTHRC1,4.116241422693217e-5
rna_RNF111,4.129156407242212e-5
rna_FBXL17,4.179850570929533e-5
rna_FGF5,4.1934391695983796e-5
rna_PRPF8,4.3719995381430396e-5
rna_CMA1,4.402714941807708e-5
rna_MPZL1,4.4119919793147506e-5
rna_TOPORS,4.426019486128716e-5
rna_ESM1,4.5097063014509516e-5
rna_SCRN3,4.512906614022187e-5
rna_IFNGR2,4.519824627483066e-5
rna_YME1L1,4.5381269504589325e-5
rna_NLRP6,4.5746907914914195e-5
rna_NFX1,4.665982638068819e-5
rna_UBE2D3,4.6672409472272085e-5
rna_TICAM2,4.705890006375655e-5
rna_GKN2,4.841050212870257e-5
rna_BCS1L,4.862090669215313e-5
rna_ADAM19,4.9548971162173955e-5
rna_RELB,4.9872006602187275e-5
rna_AIRE,5.076040044485322e-5
rna_CTSG,5.0987515140213884e-5
rna_MMP13,5.1203963003752605e-5
rna_OFD1,5.1237583104433625e-5
rna_EN1,5.1597214869177525e-5
rna_FGL2,5.2130099096467886e-5
rna_TKT,5.216566803208609e-5
rna_SLC18A2,5.239907654030471e-5
rna_ALG13,5.269506170101803e-5
rna_MKS1,5.271040370060741e-5
rna_UBE2Z,5.328311686606829e-5
rna_ATL1,5.336049652342083e-5
rna_LZTR1,5.3494082194520666e-5
rna_CPZ,5.3742436189613686e-5
rna_PRKACB,5.3880848702079087e-05
rna_SELP,5.398104978649079e-5
rna_CPXM1,5.4564634232506474e-5
rna_SUCNR1,5.7567810218428095e-5
rna_TNK2,5.890225563598944e-5
rna_PCSK5,5.9634214717037666e-05
rna_VTN,6.0086701498943177e-5
rna_GNA15,6.040660399468512e-5
rna_TMEM208,6.048506779127435e-5
rna_TGM1,6.180518764568482e-5
rna_FAM8A1,6.181008038743201e-5
rna_AGBL4,6.378769166211988e-5
rna_COL21A1,6.50606290994346e-5
rna_FBXL16,6.541160407093132e-5
rna_IFNAR1,6.664737255274579e-5
rna_EXOC8,6.704465568149268e-5
rna_ZBP1,6.710449423009665e-5
rna_SMARCC2,6.726736670214774e-5
rna_UBE2L3,6.746050356884219e-5
rna_CTSF,6.747983152612038e-5
rna_COL4A5,6.78227153526006e-5
rna_TRIL,6.788803523277161e-5
rna_ADAMTS10,6.856449905665886e-5
rna_UBXN11,6.88600417589887e-5
rna_GJB3,6.895998641381478e-5
rna_DNAL1,6.945292757911302e-5
rna_FKRP,6.965660070322907e-5
rna_PRAME,6.966396272274606e-5
rna_DNAJB9,7.052017290801109e-5
rna_STAM,7.059885052181102e-5
rna_SCYL1,7.071450080398261e-5
rna_XCR1,7.117479595573275e-5
rna_TRPV4,7.120466770001253e-5
rna_PCSK7,7.14600272299207e-5
rna_BRSK2,7.321211370046272e-5
rna_ECSCR,7.383598669505051e-5
rna_GPIHBP1,7.384991268705216e-5
rna_CLEC3B,7.389880434728485e-5
rna_ATP7A,7.403801764397722e-5
rna_SORBS1,7.408011165565631e-5
rna_HNF4A,7.509538971484993e-5
rna_RNF11,7.510212615151908e-5
rna_TNFSF4,7.555066439946128e-5
rna_AFF4,7.604786356603129e-5
rna_FLI1,7.607460047472309e-5
rna_PLEC,7.627079218777463e-5
rna_PSMB6,7.648141970155984e-5
rna_EDIL3,7.655923020615252e-5
rna_TRIM45,7.845691097959343e-5
rna_SLC25A13,8.086262244564318e-5
rna_DEF6,8.175417369017728e-5
rna_PPP2R5B,8.193064270003384e-5
rna_DAB2,8.259071262240846e-5
rna_TYRO3,8.3121103995438e-5
rna_CSK,8.319522763144197e-5
rna_PSMD8,8.407056212839906e-5
rna_MYOCD,8.461600542640826e-5
rna_C1QTNF9,8.701441090334507e-5
rna_HERPUD1,8.707560061327159e-5
rna_AUTS2,8.7248613896805693e-05
rna_MMP9,8.866202581556672e-5
rna_ATL3,8.907188195911982e-5
rna_CRP,8.926507910016593e-5
rna_CSTB,8.971739021710827e-5
rna_RFC2,9.013105548785113e-5
rna_PEX12,9.073123923268947e-5
rna_MORC2,9.104984006041262e-5
rna_RB1,9.188440458577725e-5
rna_TCF4,9.192956893085343e-5
rna_SIK3,9.733114674450712e-5
rna_UBR3,9.829424483916952e-5
rna_AP2S1,9.87488181920836e-5
rna_NUP93,9.89923571185857e-5
rna_COL11A2,1.005292988270663e-4
rna_SRD5A3,1.0190070524557378e-4
rna_CANX,1.0242703032446871e-4
rna_PRSS3,1.0266690977746472e-4
rna_PIK3CB,1.0280815257280565e-4
rna_NLRP10,1.0301051599315983e-4
rna_CYP19A1,1.0339421419763227e-4
rna_TBL2,1.0382244657533954e-4
rna_RPS7,1.0432209977088076e-4
rna_PIK3C2A,1.0621970683562854e-4
rna_WWP1,1.0701463052118854e-4
rna_CREB3L1,1.1042152936572364e-4
rna_C1QTNF1,1.1167731732970107e-4
rna_CTSZ,1.1247798298281857e-4
rna_TAOK1,1.1470273775403915e-4
rna_EPHA10,1.1535824859528976e-4
rna_WT1,1.162440673726673e-4
rna_RECK,1.1644911701162438e-4
rna_IL20RA,1.1736536405729288e-4
rna_MAP2K2,1.2046981232035244e-4
rna_IER3,1.2231930460678898e-4
rna_SIPA1L1,1.228338498532545e-4
rna_TWF1,1.2389847364491907e-4
rna_SDF2L1,1.2390380252084174e-4
rna_ARRDC1,1.2480213114662942e-4
rna_WNT5A,1.2501444985388898e-4
rna_GNAQ,1.2574795229681711e-4
rna_DBX2,1.273801532899157e-4
rna_LEPROTL1,1.2759927749010172e-4
rna_PRKAR1A,1.2853515714355545e-4
rna_PLEKHA1,1.2893069699253124e-4
rna_TMC8,1.3041033323728504e-4
rna_SHC3,1.310375200632463e-4
rna_TPSB2,1.3237937087397515e-4
rna_GPX1,1.3382613567867988e-4
rna_CUL5,1.357435346960813e-4
rna_CDCP1,1.361885557502723e-4
rna_ZFAND2A,1.36460107458651e-4
rna_UBXN7,1.371024012728917e-4
rna_USP5,1.399825528395757e-4
rna_DAZAP2,1.41491676708189e-4
rna_NDRG4,1.4231055338942235e-4
rna_PSMB10,1.4308774809039526e-4
rna_FAM111A,1.43453873240606e-4
rna_MYH11,1.4472779264157215e-4
rna_CASP5,1.4491100926844583e-4
rna_LONP2,1.4546430363789072e-4
rna_GATA4,1.4649237117147273e-4
rna_PXN,1.4858023532904026e-4
rna_TACR1,1.4858724841021524e-4
rna_THOP1,1.49432831875599e-4
rna_IL1RL2,1.5206730264685084e-4
rna_NCSTN,1.52199135809454e-4
rna_NUP37,1.5273740258083565e-4
rna_DPP8,1.535357813228699e-4
rna_COPS6,1.5365412720522853e-4
rna_RAP1B,1.53692868085299e-4
rna_RNFT2,1.5646713620516087e-4
rna_ZC3H12A,1.5715782918328963e-4
rna_RAMP2,1.600256788990892e-4
rna_ARHGEF2,1.6033630779821838e-4
rna_HPR,1.6253259772056806e-4
rna_PTCD3,1.6286737598311516e-4
rna_GPR132,1.6338704029002875e-4
rna_NTN5,1.640745913824657e-4
rna_DOK7,1.6418611544110161e-4
rna_SIRT6,1.6736311066529183e-4
rna_DUSP3,1.7142700367734867e-4
rna_NPR2,1.7154631441232553e-4
rna_GH2,1.7403963338101335e-4
rna_RELA,1.7429720573843794e-4
rna_HFE,1.7436092110599758e-4
rna_GSN,1.7729981989940793e-4
rna_KALRN,1.7935235376434367e-4
rna_CCL13,1.803470798621872e-4
rna_SPRY2,1.8136432046120924e-4
rna_PIK3CA,0.00018336246271762164
rna_CRELD1,1.83793977403392e-4
rna_SDR9C7,1.8697365926980013e-4
rna_FBXO38,1.8742764830189773e-4
rna_CCL25,1.87896363651051e-4
rna_SPPL2B,1.9042908002745712e-4
rna_FOXO1,1.9087729748246747e-4
rna_MMP14,1.910030628881388e-4
rna_BDKRB1,1.928751512003485e-4
rna_BMP2,1.9315023383359152e-4
rna_CD82,1.9325208945603813e-4
rna_DAND5,1.9437528659194898e-4
rna_VASH2,1.9496533658303698e-4
rna_JAM3,1.990111671393766e-4
rna_TFG,2.0023519314679223e-4
rna_SETBP1,2.0046927278360044e-4
rna_HSPBP1,2.0060708766566853e-4
rna_HSPB1,2.0086445896350404e-4
rna_SUMO2,2.0327152709205857e-4
rna_SCNN1G,2.0537004251334996e-4
rna_ATP6V1B2,2.055517897771102e-4
rna_RNF5,2.066098663668932e-4
rna_STXBP1,2.0780844381104534e-4
rna_TPSG1,2.1260849229315596e-4
rna_EBI3,2.138708651119083e-4
rna_RNF43,2.1448403126476817e-4
rna_ABI3BP,2.159680771390736e-4
rna_TGM5,2.1726500366803212e-4
rna_F7,2.1741913196385648e-4
rna_COL6A3,2.200866088014118e-4
rna_SEMA3C,2.2200266928567197e-4
rna_FBXO8,2.2343565153479803e-4
rna_SPINK1,2.2484871908254553e-4
rna_CHMP1B,2.2550026837802893e-4
rna_COL23A1,2.2584785882712145e-4
rna_TXNIP,2.2588536517318037e-4
rna_SMAD4,2.2615247208394455e-4
rna_ESPL1,2.2715738664551966e-4
rna_JOSD2,2.3023470348811187e-4
rna_RNASEH2C,2.3057823988240577e-4
rna_TBXA2R,2.3195308605358772e-4
rna_PVR,2.3334204265028382e-4
rna_NPPA,2.346511495188101e-4
rna_RBX1,2.348997716664188e-4
rna_APOL1,2.364707784777247e-4
rna_KCNE2,2.3734971376112234e-4
rna_RNASEH2A,2.3771022694627072e-4
rna_COL15A1,2.425809035381392e-4
rna_TNFSF15,2.4342398816126117e-4
rna_HERC4,2.4560490653257206e-4
rna_IL17RB,2.4659470927387633e-4
rna_NEDD4L,2.4914572794356246e-4
rna_ARRB2,2.5022902071718603e-4
rna_CDC16,2.570490522623544e-4
rna_PAX2,2.5740685985643015e-4
rna_C2CD4A,2.590888805778842e-4
rna_PAH,2.601729771241819e-4
rna_PSMA7,2.611969620119972e-4
rna_TNIP3,2.6175654954404534e-4
rna_MUC2,2.648955640149467e-4
rna_TMPRSS11F,2.674988404303551e-4
rna_RSPRY1,2.6895184964870374e-4
rna_DCST1,2.699769903583699e-4
rna_STMN1,2.7025860999562037e-4
rna_ADCY1,2.7301316931774424e-4
rna_KRT17,2.774511447755871e-4
rna_GSDMD,2.7781052197108926e-4
rna_WNT4,2.785828281596632e-4
rna_DNAH7,2.787314502702583e-4
rna_TIE1,2.7881142015946723e-4
rna_STAM2,2.8203413935116187e-4
rna_PTPN14,2.85243945352577e-4
rna_FBXO41,2.852828313886428e-4
rna_ENPP3,2.870971329369784e-4
rna_NEAT1,2.89379467024848e-4
rna_UFSP1,2.922507717264389e-4
rna_APC2,2.94443389206392e-4
rna_ASTL,0.00029526127613282017
rna_CPLX1,2.9687848563800007e-4
rna_UBXN10,2.973792745235993e-4
rna_FOXO4,2.974503228190477e-4
rna_FBXO6,2.975071631244244e-4
rna_GREM1,2.9970953898994794e-4
rna_NUP133,3.0583097304502486e-4
rna_INSRR,3.077657810969667e-4
rna_PPARG,3.112025015391059e-4
rna_ZP3,3.132477042720043e-4
rna_NR1H2,3.137928832279942e-4
rna_RAB14,3.139004238927803e-4
rna_FBLN1,3.1785002552068024e-4
rna_HAP1,3.2198723736178044e-4
rna_BMP6,3.236906413071966e-4
rna_KLF4,3.2495314886411516e-4
rna_COL1A1,3.2617053509844806e-4
rna_UBE2G2,3.2644868412502563e-4
rna_IQGAP1,3.285978437850662e-4
rna_CARD9,3.299940715238454e-4
rna_NOS2,3.3307199706680726e-4
rna_IARS2,3.33082596175619e-4
rna_MAN1A1,3.337436682068854e-4
rna_IL1R2,3.338512317144867e-4
rna_RNASEH2B,3.376414555653823e-4
rna_CSF3,3.377062110886248e-4
rna_LNPEP,3.3875988499292026e-4
rna_BMPR1B,3.398368343949902e-4
rna_IL1A,3.475744934469695e-4
rna_IL31RA,3.483449866911062e-4
rna_HPGD,3.5275022045157814e-4
rna_DNAH1,3.532133125863903e-4
rna_FBXO39,3.544481186321574e-4
rna_TERT,3.5735401219712156e-4
rna_RSPH3,3.5899000038146906e-4
rna_FLT4,3.6005715458598746e-4
rna_COL19A1,3.6118259220874004e-4
rna_NUPR1,3.677032791345374e-4
rna_USP27X,3.707460095333121e-4
rna_TESK1,3.7393453950309663e-4
rna_DPP9,3.759956224093661e-4
rna_CD14,3.7950045307252097e-4
rna_PRRG3,3.8493869214390055e-4
rna_PTPN3,3.8642620873170785e-4
rna_LPIN1,3.8667600341868555e-4
rna_HYAL2,3.878131493652773e-4
rna_GAB2,3.885193279878728e-4
rna_PITPNM2,3.896400749674067e-4
rna_ATRX,3.9097054729023763e-4
rna_ARIH2,3.9198248583808854e-4
rna_SH2B2,3.9218347572914666e-4
rna_DCAF12,3.939507059841294e-4
rna_NTF4,3.964232991426277e-4
rna_NLRP11,3.9786662306929936e-4
rna_RGS16,4.0104747521759967e-4
rna_PRELID1,4.029033674539284e-4
rna_ASH1L,4.040065777198859e-4
rna_CLOCK,4.0423031389663297e-4
rna_FGF16,4.057121901872584e-4
rna_ARMC5,4.112626788068442e-4
rna_PIK3R1,4.120338631527935e-4
rna_TRPV1,4.150948612987989e-4
rna_PAFAH1B1,4.1545548352414153e-4
rna_OSBPL8,4.1856095067252714e-4
rna_OPTC,4.187822273944238e-4
rna_ZNRF2,4.2075573259942896e-4
rna_ERCC3,4.211781217520794e-4
rna_PLOD3,4.2251566103114545e-4
rna_DPP3,4.243815364280078e-4
rna_BCL6B,4.2495109150920914e-4
rna_KLHL13,0.00042698099602956696
rna_TRPC6,4.304655460198066e-4
rna_SPPL3,0.00043051483976352343
rna_GPS2,4.3639016989739134e-4
rna_TM4SF20,4.4266022387334764e-4
rna_GBP2,4.431986091611794e-4
rna_A2ML1,4.4723711245393675e-4
rna_KLHL23,4.475702857417099e-4
rna_GMPPA,4.485758411074392e-4
rna_AQP9,4.4874841646650045e-4
rna_ZAN,4.497615680661805e-4
rna_ATRN,4.518884440666528e-4
rna_IFNG,4.5223116767906105e-4
rna_CCL26,4.525473398233003e-4
rna_CDH1,4.533591194161427e-4
rna_MAN2B1,4.5426577246829986e-4
rna_TERC,4.547435046023819e-4
rna_GTF2I,4.5735073552997853e-4
rna_KLK2,4.575604929134576e-4
rna_SCG5,4.5756371251157716e-4
rna_MBL2,4.5942394869799845e-4
rna_IL17D,4.643642507459371e-4
rna_ZDHHC12,4.6576780872250386e-4
rna_IL34,4.6613658582765583e-4
rna_KCMF1,4.666541635567936e-4
rna_NFKB1,4.701160360770946e-4
rna_DMWD,4.7018887384517343e-4
rna_MTA1,4.705250221026704e-4
rna_RNF185,4.72596854020259e-4
rna_PRSS23,4.7337780981145534e-4
rna_ANPEP,4.7393225160554997e-4
rna_FER,4.794932878852347e-4
rna_TNIP1,4.811825062750866e-4
rna_UBXN2B,4.8920304103892e-4
rna_TTC12,4.919455811905711e-4
rna_PLOD1,4.943873124109245e-4
rna_HIP1,4.957917156578615e-4
rna_RAPGEF1,4.979413525805241e-4
rna_ROR2,4.982713626625984e-4
rna_SYVN1,5.007901348647858e-4
rna_YES1,5.082190464016696e-4
rna_CIDEC,5.090331804344923e-4
rna_EFNA3,5.117120360160919e-4
rna_GJA1,5.118267457827934e-4
rna_ITGAX,5.134879298428542e-4
rna_REPS2,5.153853736658702e-4
rna_LATS2,5.165759721052907e-4
rna_TGFB1,5.166748071744759e-4
rna_CTSA,5.175803587565325e-4
rna_VPS36,5.184138987574836e-4
rna_ANXA2P2,5.237070717286999e-4
rna_XCL2,5.288979111467733e-4
rna_CBS,5.317004373750589e-4
rna_RNF180,5.445064239717185e-4
rna_UBR2,5.570006496343519e-4
rna_PSMD2,5.599163392425698e-4
rna_FBXO15,5.599720647354313e-4
rna_SERPINB13,5.624878258786649e-4
rna_KIT,5.652254827733574e-4
rna_CD63,5.659549780991275e-4
rna_YIPF5,5.863833324756926e-4
rna_COL4A3,5.864483451659785e-4
rna_SH2B1,5.867531429189876e-4
rna_PDPN,5.947282073772856e-4
rna_OPHN1,6.031677962208758e-4
rna_EGFR,6.041226582279196e-4
rna_TBCD,6.081546143606764e-4
rna_HSPA8,6.116661013672723e-4
rna_AKT2,6.123494202293883e-4
rna_PSMB1,6.193950875835238e-4
rna_RBM8A,6.239832668959576e-4
rna_ARL6,6.244052848602009e-4
rna_DCAF13,6.257229819285535e-4
rna_QRICH2,6.33800273430367e-4
rna_LZTFL1,6.368031700461791e-4
rna_ROCK1,6.413705934997607e-4
rna_FNDC4,6.513513716483066e-4
rna_CCL22,6.594949100396234e-4
rna_TRIM8,6.602309393920715e-4
rna_F11,6.604703828627206e-4
rna_P2RY2,6.612340824104187e-4
rna_PTEN,6.614026173809631e-4
rna_RNF149,6.670810928960842e-4
rna_FBXL12,6.685708131020627e-4
rna_ZP4,6.687405952498635e-4
rna_COBLL1,6.721815588146316e-4
rna_AGPAT2,6.746639933571577e-4
rna_RABGEF1,6.761780958657428e-4
rna_CSTA,6.78358532652371e-4
rna_NAMPT,6.797809568904894e-4
rna_FCGR1A,6.798971123801478e-4
rna_RNF115,6.840782454177692e-4
rna_CTSK,6.849076281730037e-4
rna_S100A10,6.888964819401781e-4
rna_AMZ1,6.909140235978372e-4
rna_CDK5,6.927913699330563e-4
rna_CHUK,6.942034158966922e-4
rna_PRKCZ,6.942455541997344e-4
rna_DVL1,6.946036456047165e-4
rna_CHMP4C,6.947494132922381e-4
rna_TNFRSF11B,6.974302190162179e-4
rna_S100A8,7.047662694943586e-4
rna_CRBN,7.074137355700032e-4
rna_IRF5,7.257387730968857e-4
rna_PEPD,7.266064469503542e-4
rna_COL16A1,7.273557746678291e-4
rna_PRPF19,7.304251952235328e-4
rna_TNFRSF13C,7.316047692564007e-4
rna_XCL1,7.319506119686848e-4
rna_ADCY7,7.383881898734977e-4
rna_FKBP6,7.393690221981903e-4
rna_LTA4H,7.400353208501696e-4
rna_SCNN1B,7.424059824339165e-4
rna_NOD1,7.452325219758239e-4
rna_MUC20,7.481172302314564e-4
rna_RNF41,7.584757000429043e-4
rna_TRIB1,7.593344283764759e-4
rna_KBTBD4,7.613453714680084e-4
rna_MMP27,7.64340538010948e-4
rna_COCH,7.655870226299198e-4
rna_PNP,7.68411683398191e-4
rna_LIG1,7.714287522824844e-4
rna_SESN3,7.74246786414015e-4
rna_TMPRSS5,7.872136937810933e-4
rna_IL10RB,7.906822554204098e-4
rna_PKD2,8.002261280682562e-4
rna_NINJ1,8.007834464089129e-4
rna_UBAP1L,8.050225844751515e-4
rna_NDFIP1,8.096907370551714e-4
rna_TNK1,8.218965486560727e-4
rna_LNX1,8.241972368811409e-4
rna_CSF3R,8.307853713202408e-4
rna_TSPAN17,0.00083556814310115665
rna_MMADHC,8.448636223956265e-4
rna_BCL6,8.491583846999093e-4
rna_FBN2,8.528651528964845e-4
rna_C2CD4B,8.578819501676266e-4
rna_SDHD,8.587544891156833e-4
rna_UBE2D1,8.703709113446423e-4
rna_SAMD10,8.71008832141653e-4
rna_MFAP2,8.715664254499954e-4
rna_MAGT1,8.791105034593501e-4
rna_GLIS3,8.798553749927427e-4
rna_KLK8,8.817058270613528e-4
rna_A1BG,8.88611440402251e-4
rna_IL4R,8.968236920742853e-4
rna_PSTPIP1,8.97560334175429e-4
rna_RAC1,8.981692841584658e-4
rna_TFPI2,8.98851526075982e-4
rna_FLT3LG,9.013486775544051e-4
rna_ZAP70,9.042455300175003e-4
rna_MECP2,9.060077043404936e-4
rna_SBNO1,9.150325205868972e-4
rna_DCAF11,9.16932796646234e-4
rna_ZRANB1,9.252390391445544e-4
rna_PLK3,9.316252160470622e-4
rna_NBEAL2,9.513439361834551e-4
rna_KIF16B,9.584806829202653e-4
rna_CSF1,9.608064376885395e-4
rna_ERBB2,9.651854446203903e-4
rna_FBXO28,9.663941086960333e-4
rna_ABHD12,9.694056481033615e-4
rna_SPI1,9.73406690962795e-4
rna_IL13,9.787097118550351e-4
rna_SPRY4,9.81475296400987e-4
rna_NRAS,9.874411595765778e-4
rna_ELF4,9.87690085405829e-4
rna_SYT11,9.877841256195072e-4
rna_RBPJ,9.913862004014382e-4
rna_PKDCC,9.974334440103945e-4
rna_FBXW2,0.0010012153235733003
rna_ATG4A,0.0010025766072080313
rna_DPP6,0.0010037051907588305
rna_TRIP12,0.001004965480671244
rna_HAS2,0.0010189356887432507
rna_ERCC4,0.0010196900066569853
rna_NKIRAS2,0.0010249863846825376
rna_MAEA,0.0010547613040231719
rna_RNF168,0.0010681294971404127
rna_LPL,0.0010802305272268786
rna_GPHN,0.0010872934299797112
rna_CREBBP,0.001101476936174889
rna_UBE3A,0.0011033140925206964
rna_PDCL3,0.001109183535982434
rna_TRIM28,0.0011404323093048545
rna_JMJD1C,0.001157177870023591
rna_FBXO5,0.0011646809007210077
rna_CDKN2A,0.0011725317443064466
rna_PABPN1L,0.0011781804872243392
rna_ABCB4,0.0011804382855701374
rna_UBR7,0.0011825484939600893
rna_FSTL4,0.0011878428432634887
rna_USP15,0.0011884546054047444
rna_BMX,0.0011988881546352655
rna_CWH43,0.001201657931415516
rna_FGFR3,0.0012022305542320226
rna_FCN3,0.0012038391860319892
rna_GTF2H5,0.0012121563590315914
rna_ADAM20,0.0012161200820071092
rna_ITGB8,0.0012201084284795868
rna_NOP10,0.001223212737186934
rna_IL22RA2,0.0012263088354508096
rna_HSP90B1,0.0012320945601556285
rna_KDM2A,0.0012354683290343716
rna_CUL7,0.0012464093723570271
rna_CDK10,0.0012606733242286798
rna_EIF2AK1,0.0012736081216866558
rna_BBS4,0.0012759810677336403
rna_DDR1,0.0012766065424492756
rna_ICAM1,0.0012841016492214983
rna_PTGER3,0.0012853962810683392
rna_FBXO7,0.001290314783302398
rna_FCER1G,0.001299312930436399
rna_IL17C,0.0013167304748395066
rna_SORT1,0.0013235791682665863
rna_CTSE,0.001335875375408541
rna_DDB1,0.0013392454720342081
rna_GLMN,0.00134378013764614
rna_COMP,0.0013475319776794002
rna_FSCN1,0.001352065787529996
rna_FNTA,0.0013652357875536534
rna_CAPNS1,0.0013659191064587688
rna_HGFAC,0.00136973510159053
rna_FBLN2,0.0013698313856792552
rna_MTAP,0.0013710102208301217
rna_PTP4A3,0.00137257153675233
rna_UBE4B,0.001377363935735332
rna_NFATC3,0.0013780449157048257
rna_IL1RL1,0.001403186795811103
rna_CXCL6,0.0014067759104451837
rna_FEM1B,0.0014122175637700676
rna_SLC35C1,0.0014272567642132333
rna_BRD4,0.0014340900194475252
rna_TAF4,0.0014423345225581027
rna_TSPAN32,0.001456995090248246
rna_NAE1,0.0014620943497936278
rna_OVGP1,0.0014910424307237322
rna_TSLP,0.0014987791805170089
rna_NOX4,0.0015053119707877825
rna_LPA,0.0015391326741167977
rna_PTK2,0.001539891056441367
rna_SAT1,0.001547182124275051
rna_CARD11,0.001556973450594449
rna_RNF25,0.0015626460644854931
rna_ARHGEF38,0.0015694446885043476
rna_IKZF5,0.00157482633279397
rna_ADORA1,0.0015850277457207691
rna_COL9A3,0.0015997309416636838
rna_ITCH,0.0016070750213363814
rna_NTRK1,0.001608106994657763
