term,hazard_ratio,conf_low,conf_high,p_value
stageSTAGE IV,5.142260566558146,3.200887069676741,8.26109861384437,1.2876704882113102e-11
age,1.0399142342183387,1.0243699590127127,1.0556943856223464,3.516456046634511e-7
tbl_score,1.0106973907989831,1.0062233544011614,1.0151913203960647,2.591419012277511e-6
stageSTAGE III,2.129343923909158,1.3383090350467146,3.3879361399742653,0.001423685640584522
gradeG4,1.8809671136827055,1.1803769943547984,2.9973790574339025,0.007871758577023808
gradeG3,1.2372516644366722,0.8132336950636426,1.8823515189339488,0.32004868056373026
stageSTAGE II,1.3800773515233897,0.6930629093269851,2.7481105546931275,0.3593130022448896
lymph_node_assessmentYes,1.1117111481235535,0.7822058310967455,1.5800210478222958,0.5548975721744315
