model,cv_concordance,conf_low,conf_high,incremental_vs_clinical
RNA_DataDriven,0.7855104483107798,0.7513353417506742,0.8196855548708853,0.017674675504004478
RPPA,0.7835082389763417,0.7474308030917794,0.819585674860904,0.015672466169566412
Integrated,0.7731289698978183,0.7361236632791058,0.8101342765165308,0.005293197091043034
RNA_Path,0.7721393721807972,0.7365933135698293,0.8076854307917651,0.004303599374021916
Clinical,0.7678357728067753,0.7312158361853618,0.8044557094281888,0
CNA,0.7672374113964835,0.7303635412440621,0.8041112815489049,-5.983614102917922e-4
