model,n_coef,log_lik,aic,c_index,c_conf_low,c_conf_high,wald_p_value,lrt_p_value_vs_clinical
integrated,27,-370.4573597744845,794.914719548969,0.8285961979069911,0.784339013203923,0.8728533826100593,1.2561049975391704e-13,NA
rppa,18,-379.8223191502633,795.6446383005266,0.8050653291225462,0.7578381827136148,0.8522924755314777,3.3590152786365793e-15,NA
rna,11,-388.5711506489131,799.1423012978262,0.8007926187380023,0.7568538011403003,0.8447314363357044,8.332461492546116e-16,NA
clinical,8,-398.3590342606057,812.7180685212114,0.7776332899869961,0.7277254912546002,0.827541088719392,1.0880410250055912e-13,NA
mutation,14,-394.8104017983074,817.6208035966148,0.7824323487522447,0.734210773054045,0.8306539244504443,1.3757987668328692e-11,NA
