query,gs_name,gene_symbol
ecm_remodelling,GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS,PLOD1
ecm_remodelling,GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS,PLOD2
ecm_remodelling,GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS,PLOD3
ecm_remodelling,GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS,PPARD
ecm_remodelling,GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS,PRDX5
ecm_remodelling,GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS,RAP1A
ecm_remodelling,GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS,RCN3
ecm_remodelling,GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS,RGCC
ecm_remodelling,GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS,RUNX1
ecm_remodelling,GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS,SCX
ecm_remodelling,GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS,SERPINB7
ecm_remodelling,GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS,SERPINF2
ecm_remodelling,GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS,SERPINH1
ecm_remodelling,GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS,SUCO
ecm_remodelling,GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS,TGFB1
ecm_remodelling,GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS,TGFB3
ecm_remodelling,GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS,TMEM131
ecm_remodelling,GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS,TRAM2
ecm_remodelling,GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS,TRAPPC8
ecm_remodelling,GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS,UCN
ecm_remodelling,GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS,VIM
ecm_remodelling,GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS,WNT4
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,ADAM15
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,ADAMTS14
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,ADAMTS2
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,ADAMTS3
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,CST3
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,CTSB
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,CTSK
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,CTSL
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,CTSS
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,FAP
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,FURIN
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,ITGB1
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,KLK6
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,MMP1
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,MMP10
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,MMP11
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,MMP12
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,MMP13
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,MMP14
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,MMP15
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,MMP16
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,MMP17
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,MMP19
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,MMP2
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,MMP20
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,MMP21
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,MMP23B
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,MMP24
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,MMP25
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,MMP26
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,MMP27
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,MMP28
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,MMP3
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,MMP7
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,MMP8
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,MMP9
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,MRC2
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,PEPD
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,PRSS2
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,PRTN3
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,RETREG1
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,RETREG2
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,RETREG3
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,TMPRSS6
ecm_remodelling,GOBP_COLLAGEN_CATABOLIC_PROCESS,VSIR
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,ADAMTS12
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,ADAMTS14
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,ADAMTS19
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,ADAMTS2
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,ADAMTS3
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,ADAMTS7
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,AEBP1
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,ANTXR2
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,ANXA2
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,ATP7A
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,BMP1
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,CHADL
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,COL11A1
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,COL11A2
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,COL12A1
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,COL14A1
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,COL1A1
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,COL1A2
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,COL28A1
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,COL2A1
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,COL3A1
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,COL4A1
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,COL4A2
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,COL4A3
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,COL4A4
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,COL4A5
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,COL4A6
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,COL5A1
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,COL5A2
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,COL5A3
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,COL6A1
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,COL7A1
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,COLGALT1
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,COLGALT2
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,COMP
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,CRTAP
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,CYP1B1
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,DDR2
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,DPT
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,EFEMP2
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,EMILIN1
ecm_remodelling,GOBP_COLLAGEN_FIBRIL_ORGANIZATION,ERO1A
