term,hazard_ratio,conf_low,conf_high,p_value
stageSTAGE IV,6.819010887657407,3.3470714315522017,13.892416232188513,1.2415699058756622e-7
age,1.049423261964489,1.0262981172645453,1.0730694758434534,2.2030521855271894e-5
score_ptk,0.9221547162441212,0.8772279809135332,0.9693823489370604,0.0014715990630256137
SRC_Src_pY527,1.6780238458372052,1.2157720331414803,2.316029609533395,0.0016420576116304914
score_ecm_deg,0.9082377632235636,0.8553702643724701,0.9643728206410295,0.0016576969439705286
CDKN1A_p21,1.4015908043532714,1.101902951572251,1.782785661881261,0.0059494129450602335
MAPK1_MAPK3_MAPK_pT202_Y204,0.6558618405770339,0.4807173148603534,0.8948185152225129,0.007788814699170054
mut_SETD2,0.5057822909472375,0.2752074596345594,0.9295377609877536,0.028143345750613002
stageSTAGE III,2.081647042370291,1.0813985540558777,4.00708359813941,0.02822376344256451
mut_BAP1,1.8048948105724492,0.953862524776038,3.4152146589428454,0.0695555470311354
cna_loss_VHL,0.09455797345161905,0.005757631601277251,1.552931997471601,0.09859087576755356
GAB2_GAB2,0.8099283170552232,0.587596782701259,1.1163843950136396,0.19790466660697667
score_neutrophil_deg,1.090553788979264,0.9538452777906096,1.2468558521480764,0.20462333567004115
mut_PBRM1,1.3463163689968327,0.8257532058356383,2.1950478092235195,0.23313962346297806
mut_KDM5C,1.5831562008721392,0.6293911440465131,3.98223518088567,0.32897697398541265
mut_TSC2,2.091023380097776,0.39850406024935003,10.971980494702276,0.383120261524611
sexMale,1.2461252609067797,0.7350302646856716,2.112604392601496,0.41394102335224614
mut_MTOR,0.8033223713957348,0.39696869646247324,1.6256365757189415,0.5425740590952615
mut_TSC1,0.522243186357918,0.05459891302142861,4.995299917238805,0.5728577379566976
mut_PTEN,0.9268100234108393,0.29323160371761986,2.9293459797805075,0.8970008232177767
mut_VHL,0.9762328438637584,0.595214959533366,1.6011535835481587,0.9240879747787014
stageSTAGE II,0.9542963305278356,0.355119272178475,2.564438367065598,0.9260990653056287
SERPINE1_PAI_1,0.9968769504841284,0.7759638599200444,1.280682910295504,0.9804764899341196
gradeG4,6224510.567767651,0,Inf,0.9948287046422506
gradeG2,4364492.443378051,0,Inf,0.994946049764443
gradeG3,3557138.440102662,0,Inf,0.9950136636329853
cna_loss_BAP1,989235017071553.1,0,Inf,0.9981422588138885
cna_loss_SETD2,1.5321726399000855e-7,0,Inf,0.9986275460837353
cna_loss_PBRM1,1.897387242114744e-8,0,Inf,0.99878661762609
