feature,hazard_ratio,conf_low,conf_high,p_value
stageSTAGE IV,6.984302976937421,3.424891806035986,14.242928196355516,8.993368685047536e-8
age,1.0536341381289072,1.0289362841471066,1.0789248218132894,1.581416612270046e-5
SRC_Src_pY527,1.6373428150629716,1.1922223989030833,2.2486505005315442,0.002317907111516718
CDKN1A_p21,1.4415946607413217,1.0851626003413846,1.9151002487775572,0.011603955919595019
MAPK1_MAPK3_MAPK_pT202_Y204,0.7010126636534956,0.5201080002872924,0.9448398300566873,0.01967264252378847
score_hallmark_inflammation,0.8352502706925617,0.7055736316555781,0.9887600434486593,0.03650351346710191
mut_SETD2,0.5407672762409375,0.29775138426928627,0.9821255668405874,0.043466051570014715
score_inflammatory_response,0.9076316841356532,0.8215063515250512,1.002786250547694,0.05674553278419045
mut_KDM5C,2.1379808256632145,0.8608522273790139,5.30981028511769,0.10160007612858668
stageSTAGE III,1.637241151723482,0.8329729335292828,3.21806205339636,0.15274228436897727
GAB2_GAB2,0.794616823282502,0.5778113832243253,1.0927716451692655,0.15729894783285445
score_neutrophil_degranulation,1.4140968044913615,0.8501932115737577,2.3520180416063,0.18195029466522492
mut_PBRM1,1.3862908827850746,0.8371871653244569,2.295546911482112,0.20431393599483821
mut_BAP1,1.5343797147202412,0.7768873674127275,3.0304535865804816,0.21760357060480212
score_neutrophil_activation,0.7761132704893913,0.5175397325247948,1.1638754877643738,0.22022089405062173
tbl_score,1.0066981502310133,0.9948533122165781,1.0186840142498506,0.26894701168696256
cna_loss_VHL,0.2614083074262434,0.015586571985116718,4.384177820286869,0.351026457621898
gradeG3,0.742506658425759,0.39498442075040036,1.395792109367716,0.3552291743170194
mut_MTOR,0.7242567456230294,0.33959187133207863,1.5446419006523247,0.40381251979261334
score_kinase_activity,0.9087158184872279,0.6528134243578392,1.2649317675738703,0.570543297824021
gradeG4,1.228827656970235,0.5513641105033638,2.73869369037531,0.6143004639149143
score_metalloprotease_activity,1.0428856936626596,0.8841617878350406,1.2301035681595909,0.6181477101007933
stageSTAGE II,0.8554759135437229,0.30511876180395464,2.398538307925127,0.7666509232789627
score_kinase_signalling,1.0180063426371335,0.8259117777699482,1.254779192576301,0.8671598693815155
mut_VHL,0.971344066043514,0.5980576542466909,1.5776226387845234,0.9064666408381225
SERPINE1_PAI_1,1.0158465029709887,0.7489735615272557,1.3778111412826333,0.9194647672500672
score_ecm_remodelling,1.0004261583828284,0.9027306402320924,1.1086945028467237,0.9935158969124975
cna_loss_BAP1,2509222174048.6216,0,Inf,0.9954676515307509
cna_loss_SETD2,1.913694248074814e-6,0,Inf,0.9963158364620233
cna_loss_PBRM1,2.5709286429046824e-7,0,Inf,0.9970749121000301
