feature,coefficient
stageSTAGE IV,0.5671590277388339
rna_COL7A1,0.058224185220484025
gradeG4,0.05525240392028081
rna_TEK,-0.04900040178340628
rna_ANAPC7,0.02018624375988137
rna_ZIC2,0.013725493679025806
rna_CYFIP2,-0.005958655421130951
rna_STX1A,0.004863474892363982
