feature,hazard_ratio,conf_low,conf_high,p_value,p_adjust_bh
rna_COL7A1,1.3158290265866368,1.237484038924273,1.3991340273875554,1.8972135706949535e-18,7.797547775556258e-15
rna_STX1A,1.7558230946999238,1.5396951148966633,2.002289096103632,4.473548208507608e-17,6.128761045655423e-14
rna_ZIC2,1.31864665189336,1.2362770471635307,1.4065043078645474,4.2769873128183264e-17,6.128761045655423e-14
rna_CCNF,2.013951129587347,1.7080091521456773,2.3746940391219944,8.237676650403394e-17,8.464212758289487e-14
rna_CYFIP2,0.5912529588900475,0.5222148495460806,0.6694180789766856,1.083218321075502e-16,8.904054599240627e-14
rna_UBE2C,1.4821944504004296,1.3476546351212106,1.6301657201663078,5.257651337828006e-16,3.601491166412184e-13
rna_PLK1,1.6481861771684763,1.4597929115619461,1.860892495842182,7.124058243329736e-16,4.1828399114407446e-13
rna_RNF34,9.001458539595994,5.254857924830589,15.419304765062286,1.2268641136082072e-15,6.303014383662165e-13
rna_TEK,0.6759267723138639,0.6135703639809643,0.7446203864318525,2.1702176564947376e-15,9.91066063132597e-13
rna_ANAPC7,5.1661284886620695,3.4353100041307463,7.768988396760154,3.0664773280452506e-15,1.0838723832733626e-12
