term,hazard_ratio,conf_low,conf_high,p_value
stage.L,2.846083803143767,1.9609454689496677,4.130758933778999,3.7288254547523657e-8
age,1.0324650873483794,1.0177120630729741,1.047431975380704,1.3551653430743188e-5
MAPK1_MAPK3_MAPK_pT202_Y204,0.7030315664509551,0.5601217050013112,0.8824035544655899,0.002373403667718733
PEA15_PEA15,1.3379870161455407,1.103611230418523,1.6221375843512802,0.0030426765947057796
AR_AR,0.7459839230172065,0.6046132317580386,0.9204099152478443,0.006263720407275228
SRC_Src_pY527,1.2996601830925347,1.042702714669736,1.6199407249564215,0.019697609222140647
mut_TSC1,0.13501138963971382,0.015266223375416128,1.1940134035900518,0.0717732495123087
CDKN1A_p21,1.1673285272039737,0.9587202508114595,1.4213279517886976,0.12348445497765333
TFRC_TFRC,1.1561135578780999,0.9476360862118821,1.4104555305112225,0.1527577811983311
mut_VHL,0.7429311196641855,0.49350580084841905,1.1184197786866774,0.15451445206886918
mut_SETD2,0.6814799196289972,0.3897652690594468,1.191524534698119,0.17853495840677097
mut_KDM5C,1.7234442027567074,0.7472607160132562,3.974864269411175,0.20171584841897258
mut_BAP1,1.3972725828363632,0.7779449394283772,2.5096514827653174,0.26288323036498024
stage.Q,1.2587523025369516,0.8325961103353432,1.9030323820560586,0.2751699228731039
GAB2_GAB2,0.8177121408734985,0.551946499681738,1.2114455761880496,0.3156134578218148
mut_MTOR,0.7583372375294007,0.4002466738692036,1.436802360565403,0.39619652063001604
mut_PBRM1,1.1854988980994328,0.774107734956495,1.8155194347385684,0.4339026616369048
SERPINE1_PAI_1,1.0721573782167173,0.888679349094677,1.2935165477127322,0.4668768912017173
mut_TSC2,1.7534670861186459,0.37204600003610244,8.264157716527146,0.4777081545739827
mut_PTEN,0.7056116021017839,0.2388356153366862,2.084646095678714,0.5281145159836473
ERRFI1_MIG_6,0.893906799529863,0.6054286579346619,1.319840671189302,0.572666056371055
sexMale,0.9030661763372546,0.6224170069086686,1.3102606609270517,0.5913105338691242
stage.C,1.1377606462194492,0.7030184079594838,1.8413447975608386,0.5992821007358874
CCNB1_Cyclin_B1,0.975210776124508,0.8040210052085259,1.1828497659992234,0.7988149867592665
grade.L,38092.18807181137,0,Inf,0.9917752809121676
grade.C,29.530138151610522,1.3834300984207207e-289,630338359884339e277,0.9920805707598298
grade.Q,5.669951297150388e-4,0,Inf,0.9921797952378586
