model,n,events,predictors,c_index,c_index_se,partial_aic
integrated,450,157,19,0.8120054882231877,0.01685103005231012,1573.7955418855795
clinical_only,450,157,4,0.7785273267779557,0.01817049818508417,1610.5026523678293
rppa_only,454,158,10,0.743990899056115,0.021318318365015822,1632.8449498805235
lasso_integrated,450,157,23,0.704127601189115,0.020507816932265926,NA
mutation_only,454,158,5,0.5887905206010227,0.02066667074887953,1739.3308332808506
