sample_id,score_ecm_remodelling_mean,score_ecm_remodelling,score_hallmark_inflammation_mean,score_hallmark_inflammation,score_inflammatory_response_mean,score_inflammatory_response,score_kinase_activity_mean,score_kinase_activity,score_kinase_signalling_mean,score_kinase_signalling,score_metalloprotease_activity_mean,score_metalloprotease_activity,score_neutrophil_activation_mean,score_neutrophil_activation,score_neutrophil_degranulation_mean,score_neutrophil_degranulation,score_rna_datadriven
Entrez_Gene_Id,14.001902676682931,-373.60681738211514,12.056713935119916,43.16946003975866,13.142043245139234,-274.28345127027166,12.577083429031473,19.45626570027083,12.917872803601574,96.03108330418497,13.73250946054963,-94.3113224091811,12.788070213343667,-29.10602293789919,12.528129777368836,-8.164261281628342,-15.49555198288048
TCGA-3Z-A93Z-01,7.855582561952241,4.63571219640477,7.733690985446579,-4.760568219910345,7.773460309227487,8.15599196469794,8.191785909676023,-3.769959862026358,8.088270064149258,-5.269175717788578,6.6018172223800615,0.6836499726341173,6.947216861871922,1.3450019171975764,8.847532983384538,0.09188891172310498,0.4155329265120924
TCGA-6D-AA2E-01,7.80063820182302,1.3967901062308539,7.438827339757346,-8.364289906128617,7.660044675655025,12.474689692511244,7.904011634558575,-6.427976819625211,7.939040779923787,-11.870921050747347,6.475977149837827,1.4674284305183585,7.161872977950449,1.401567341390798,10.04683035448838,-1.6782909885449437,1.4845972087982533
TCGA-A3-3306-01,7.430201945685821,8.27160951932512,7.637393024621315,-3.942834346783475,7.5129476451839015,11.291325004109465,7.747924994024688,-2.6568033424539164,7.571601234107467,-7.360119928055284,6.285145930400598,4.296857126397159,6.831538703481536,1.8645596152656858,8.386636876613426,1.2169418004510157,1.4171680025411841
TCGA-A3-3307-01,7.712596203536268,1.3449117671243513,8.010629393564423,0.09658768194558381,7.765139869064216,4.206454542410555,8.072638937396245,2.6698412988763267,7.945513195997421,2.980650977368727,6.417168772594163,2.840316565228554,6.969454264967789,0.4563150032135333,8.867140858802761,0.7031073187428523,1.4854522471097933
TCGA-A3-3308-01,8.076844904264625,-7.257134416394874,8.193840851001383,0.30471943081735825,7.9648079548418265,-4.846454067753599,8.362118233647,4.660278910858332,8.263425101603449,9.511857719815884,7.14106438756634,-5.0675682409749205,7.159215175184975,1.0069229387537477,8.70808964331425,1.126166061487609,-1.616688551732419
TCGA-A3-3311-01,7.813192055197072,-0.029242563713096296,8.208926821808019,2.9915345928538284,7.906577191837508,-4.016901659079596,8.21055141225645,3.2979856886107233,8.026941530385796,4.651741966452982,6.637707408046647,0.739141075930746,7.112839077148545,-0.7954656638904961,9.033592004284525,-0.9038554660768505,0.3342822416015015
TCGA-A3-3313-01,7.738081007290838,-5.546319939310041,7.253450738080113,-10.346529953325389,7.551957661957971,12.68029092333396,7.917871181799183,0.0495574720089014,7.910703864469165,0.771459798646068,6.600829134810766,2.1059512547276524,6.649026481419928,4.194021060266076,9.065431262804182,1.6551800209742193,-0.8820473461955166
TCGA-A3-3316-01,8.003396093798509,-2.709404036254385,8.376211164985943,3.2532435674030844,7.9444422347317865,-3.5249541581302646,8.28834258387282,3.220646409899353,8.194622254294677,7.032504653856007,7.109499768639234,-4.104098795321,7.473099700078343,-1.044174652860743,9.345363587306045,-0.17854586189787525,-0.8040709915054267
TCGA-A3-3317-01,8.016402849654243,-7.1593308608227115,8.09267348978817,0.4364882818149864,7.993908277110517,-6.575708846171096,8.441793061509399,3.908062403198825,8.316001653028371,8.392138518631329,6.984010989176964,-3.2037281396720165,6.877500980296019,0.6816372911895648,9.15035228448767,0.17135531462468762,-1.121909852282313
